Customer Name,State,Order Time,Amount (INR)
Priya Patel,Uttar Pradesh,17:06,184.52
Neha Mishra,Madhya Pradesh,17:36,366.06
Vivaan Joshi,West Bengal,16:32,495.34
Ishita Sharma,Tamil Nadu,19:23,343.62
Kabir Kulkarni,Karnataka,14:41,535.48
Sneha Gupta,West Bengal,19:52,221.12
Ritika Mehta,Punjab,22:05,147.69
Sneha Reddy,Kerala,19:39,621.09
Meera Joshi,Gujarat,16:31,425.71
Priya Joshi,Rajasthan,15:44,732.74
Sneha Das,Gujarat,17:15,407.78
Arjun Nair,West Bengal,19:41,144.65
Diya Nair,Gujarat,20:44,490.32
Ananya Mehta,Madhya Pradesh,16:33,320.07
Pooja Iyer,Bihar,16:29,367.81
Sneha Mehta,Rajasthan,19:20,705.58
Rahul Kulkarni,West Bengal,23:12,336.3
Priya Kulkarni,Kerala,18:48,656.91
Aisha Gupta,Rajasthan,23:18,378.43
Ananya Joshi,Karnataka,17:08,687.35
Sneha Sharma,Gujarat,14:08,328.43
Diya Patel,Gujarat,15:28,329.06
Ishita Verma,Gujarat,18:07,778.02
Aditya Iyer,Kerala,22:03,533.84
Karan Verma,Uttar Pradesh,20:15,396.13
Rahul Das,Tamil Nadu,14:14,222.79
Aisha Iyer,Kerala,21:37,337.78
Arjun Mehta,Uttar Pradesh,16:47,249.83
Rahul Yadav,Delhi,17:05,319.88
Rohan Singh,Karnataka,17:26,386.3
Kabir Kulkarni,Uttar Pradesh,18:18,428.71
Neha Kulkarni,Kerala,20:16,476.76
Ritika Roy,Delhi,15:41,522.31
Karan Reddy,Rajasthan,19:10,358.59
Neha Gupta,Bihar,22:28,80.0
Rahul Nair,Bihar,17:17,592.23
Aisha Das,Kerala,15:56,512.63
Arjun Kulkarni,Punjab,18:14,395.01
Ritika Gupta,Gujarat,23:17,419.28
Ritika Sharma,Karnataka,14:58,468.17
Sneha Verma,Uttar Pradesh,13:05,549.48
Diya Joshi,Tamil Nadu,16:54,652.19
Rohan Joshi,Tamil Nadu,18:25,280.77
Vikram Sharma,Kerala,20:07,492.15
Meera Mishra,West Bengal,19:55,412.3
Vikram Nair,Tamil Nadu,22:39,492.69
Diya Roy,Kerala,19:35,298.8
Karan Reddy,Rajasthan,14:07,525.63
Aarav Roy,Uttar Pradesh,20:19,150.35
Vikram Sharma,West Bengal,17:53,490.17
Rahul Nair,Maharashtra,17:59,336.68
Neha Das,Bihar,18:30,757.85
Ananya Nair,West Bengal,20:38,512.34
Aisha Kulkarni,Karnataka,20:50,310.84
Arjun Joshi,West Bengal,18:46,432.83
Neha Mishra,Uttar Pradesh,15:55,292.75
Karan Nair,West Bengal,16:48,435.9
Vikram Iyer,Kerala,23:44,271.22
Ananya Gupta,Tamil Nadu,19:02,729.5
Ishita Kulkarni,Kerala,17:24,104.14
Karan Nair,Gujarat,23:21,752.65
Rahul Mishra,Kerala,23:00,651.84
Karan Iyer,Madhya Pradesh,20:50,406.68
Sneha Joshi,Uttar Pradesh,17:54,175.95
Ishita Mishra,Madhya Pradesh,20:20,283.92
Diya Mishra,West Bengal,20:40,435.16
Neha Singh,Bihar,23:48,688.02
Rahul Nair,Karnataka,16:02,80.0
Ishita Yadav,Gujarat,18:09,588.03
Ananya Das,Tamil Nadu,14:10,291.51
Rohan Patel,Uttar Pradesh,21:15,238.45
Diya Reddy,Uttar Pradesh,21:16,576.7
Kabir Mehta,Madhya Pradesh,23:57,439.2
Neha Roy,West Bengal,20:22,582.76
Ritika Mehta,Madhya Pradesh,23:29,354.87
Neha Singh,Tamil Nadu,19:24,351.91
Ritika Joshi,Uttar Pradesh,17:01,687.53
Meera Mehta,Gujarat,14:47,309.76
Vivaan Reddy,Uttar Pradesh,18:57,80.0
Neha Yadav,Delhi,16:40,315.46
Priya Gupta,Rajasthan,16:42,161.53
Karan Roy,Maharashtra,22:19,271.98
Kabir Sharma,Uttar Pradesh,17:58,491.73
Neha Joshi,Bihar,17:50,481.02
Vikram Reddy,Punjab,12:53,343.28
Rohan Mehta,Kerala,21:55,389.36
Ishita Yadav,Maharashtra,17:48,434.08
Ananya Mishra,Madhya Pradesh,17:54,80.0
Vikram Joshi,Maharashtra,19:34,390.84
Rahul Nair,Punjab,16:37,182.1
Meera Mishra,Madhya Pradesh,20:14,388.41
Diya Sharma,Uttar Pradesh,21:58,266.34
Sanjay Singh,Madhya Pradesh,23:58,549.76
Neha Roy,Tamil Nadu,19:02,456.7
Neha Nair,Maharashtra,23:08,635.65
Meera Nair,Punjab,16:34,159.5
Arjun Gupta,Bihar,18:41,80.0
Rahul Mishra,Kerala,13:17,137.12
Vivaan Kulkarni,Punjab,19:15,611.12
Pooja Patel,Madhya Pradesh,14:41,707.03
Pooja Sharma,Tamil Nadu,17:54,886.48
Kabir Patel,Madhya Pradesh,20:01,669.87
Vivaan Yadav,Punjab,19:36,513.31
Priya Patel,West Bengal,19:55,541.04
Ananya Joshi,Karnataka,19:17,184.77
Karan Verma,West Bengal,18:42,531.47
Aarav Verma,Gujarat,15:37,666.66
Ishita Sharma,Karnataka,18:26,513.28
Aisha Patel,Bihar,22:23,496.33
Aisha Gupta,Maharashtra,16:39,457.84
Vivaan Kulkarni,Madhya Pradesh,15:01,393.23
Vivaan Nair,Tamil Nadu,17:45,458.45
Kabir Patel,Maharashtra,18:08,511.71
Sneha Gupta,Madhya Pradesh,14:24,274.84
Sanjay Das,Rajasthan,15:06,490.39
Rahul Mishra,Madhya Pradesh,16:46,169.68
Priya Iyer,Kerala,21:52,299.7
Kabir Iyer,Tamil Nadu,18:20,265.44
Sneha Joshi,Karnataka,17:05,231.75
Aditya Patel,Tamil Nadu,23:51,588.17
Karan Das,Gujarat,15:21,300.5
Rahul Iyer,Punjab,23:27,114.42
Vivaan Mehta,Uttar Pradesh,18:32,497.79
Priya Verma,Madhya Pradesh,13:22,458.97
Vikram Joshi,Maharashtra,19:51,185.56
Arjun Mishra,West Bengal,23:39,367.05
Vikram Sharma,Uttar Pradesh,23:17,274.09
Aarav Verma,Rajasthan,18:21,272.03
Pooja Sharma,Karnataka,21:25,250.25
Aditya Verma,Bihar,18:47,386.65
Aisha Singh,Tamil Nadu,16:23,499.33
Neha Kulkarni,Punjab,19:05,190.22
Vivaan Verma,Karnataka,19:05,362.51
Sneha Nair,Madhya Pradesh,15:26,533.05
Sneha Singh,West Bengal,21:18,545.13
Ritika Nair,West Bengal,18:25,372.39
Sanjay Sharma,Gujarat,21:49,836.3
Karan Yadav,Rajasthan,18:31,508.23
Arjun Verma,Karnataka,15:32,611.91
Vikram Mishra,Madhya Pradesh,19:55,354.67
Vivaan Iyer,Gujarat,17:20,438.13
Ritika Iyer,Uttar Pradesh,15:18,565.42
Rahul Iyer,Gujarat,20:39,396.7
Kabir Mishra,Bihar,20:54,382.65
Rahul Singh,Tamil Nadu,15:25,303.8
Neha Kulkarni,Punjab,19:04,727.84
Aisha Roy,Maharashtra,17:49,397.41
Pooja Joshi,Bihar,23:09,352.74
Ananya Patel,Karnataka,18:09,531.04
Aditya Verma,Madhya Pradesh,13:48,431.15
Ritika Nair,Madhya Pradesh,22:40,313.54
Sanjay Joshi,Madhya Pradesh,17:30,597.27
Kabir Roy,Rajasthan,20:22,189.3
Aisha Patel,Rajasthan,18:23,431.87
Neha Patel,Madhya Pradesh,22:39,153.42
Sanjay Das,Tamil Nadu,15:50,473.13
Vivaan Nair,Uttar Pradesh,17:30,290.67
Aisha Verma,Gujarat,13:53,520.5
Ishita Kulkarni,Maharashtra,17:15,416.83
Kabir Nair,West Bengal,17:23,404.92
Neha Iyer,Tamil Nadu,19:03,151.88
Ishita Patel,Punjab,22:18,571.7
Sneha Kulkarni,Madhya Pradesh,22:09,365.76
Ishita Patel,Uttar Pradesh,15:19,80.0
Meera Verma,Uttar Pradesh,18:35,346.78
Meera Roy,Punjab,20:53,172.77
Aisha Patel,Madhya Pradesh,17:01,231.71
Pooja Mehta,Karnataka,21:49,370.28
Diya Singh,Delhi,20:18,419.98
Rahul Das,West Bengal,22:02,98.76
Ishita Reddy,Uttar Pradesh,20:10,548.38
Rohan Mishra,Bihar,19:10,95.32
Kabir Sharma,Tamil Nadu,15:28,636.15
Sanjay Mehta,Bihar,19:15,291.52
Neha Yadav,Kerala,20:43,352.92
Ritika Nair,Kerala,19:32,109.97
Aisha Iyer,Karnataka,21:08,124.59
Sneha Sharma,Madhya Pradesh,16:59,441.09
Rahul Kulkarni,West Bengal,20:48,301.34
Rohan Mehta,Kerala,20:27,363.04
Aditya Reddy,Delhi,21:59,80.0
Aarav Iyer,Gujarat,16:24,525.51
Aditya Joshi,Delhi,23:53,493.3
Ishita Yadav,Karnataka,20:53,532.61
Diya Kulkarni,Karnataka,19:39,217.75
Aarav Reddy,Maharashtra,21:09,434.95
Vikram Kulkarni,Uttar Pradesh,17:18,404.83
Ananya Mehta,Maharashtra,21:50,475.51
Sanjay Nair,Maharashtra,23:38,670.65
Vikram Sharma,Madhya Pradesh,16:09,407.08
Neha Iyer,Gujarat,17:26,331.81
Rohan Roy,Madhya Pradesh,23:04,670.03
Aisha Das,West Bengal,19:01,211.31
Meera Mishra,Kerala,21:23,468.1
Sneha Kulkarni,Gujarat,18:15,472.65
Rahul Yadav,Uttar Pradesh,18:02,258.85
Pooja Das,Punjab,19:49,317.09
Kabir Kulkarni,Kerala,15:04,177.85
Kabir Sharma,Rajasthan,20:56,723.93
Vivaan Joshi,Rajasthan,10:34,367.76
Diya Mehta,Gujarat,19:22,302.79
Vivaan Mishra,Madhya Pradesh,18:23,500.78
Arjun Reddy,Tamil Nadu,18:24,80.0
Ishita Verma,Kerala,17:51,259.04
Aisha Mehta,Maharashtra,18:38,347.77
Rohan Das,Rajasthan,18:42,486.3
Neha Mehta,Kerala,16:44,305.99
Kabir Joshi,Kerala,23:22,515.63
Sanjay Iyer,Rajasthan,15:03,175.09
Aditya Roy,Madhya Pradesh,16:47,540.02
Rohan Sharma,Karnataka,21:28,199.42
Vivaan Verma,Maharashtra,19:23,678.11
Meera Gupta,Gujarat,15:23,253.54
Pooja Nair,Maharashtra,15:25,320.99
Ishita Roy,Rajasthan,19:47,508.33
Rohan Nair,West Bengal,16:16,570.71
Sneha Kulkarni,Kerala,19:44,661.54
Diya Singh,Maharashtra,19:11,473.18
Kabir Patel,Madhya Pradesh,23:42,313.02
Pooja Kulkarni,Maharashtra,16:19,373.93
Rohan Kulkarni,Bihar,22:50,306.9
Pooja Das,Delhi,20:08,503.29
Ananya Yadav,Kerala,22:23,457.61
Kabir Yadav,West Bengal,23:04,692.12
Neha Iyer,Bihar,18:49,204.34
Arjun Mishra,Uttar Pradesh,23:41,635.56
Aditya Nair,Kerala,17:56,270.26
Vikram Roy,Uttar Pradesh,22:27,846.46
Aisha Reddy,Gujarat,20:19,230.33
Rohan Verma,Punjab,20:33,368.7
Neha Mishra,Maharashtra,18:35,675.57
Sneha Verma,Madhya Pradesh,17:32,630.15
Rohan Gupta,Uttar Pradesh,21:46,637.55
Sanjay Joshi,Uttar Pradesh,23:05,511.99
Vivaan Roy,Uttar Pradesh,18:36,543.33
Arjun Gupta,Madhya Pradesh,23:34,491.39
Neha Roy,Rajasthan,13:43,454.79
Meera Mehta,Kerala,19:28,448.01
Arjun Nair,Kerala,20:20,655.7
Ishita Kulkarni,Punjab,20:23,405.31
Aisha Das,Maharashtra,17:17,603.04
Kabir Singh,Karnataka,21:24,505.17
Sanjay Iyer,Delhi,23:52,329.81
Ishita Reddy,Uttar Pradesh,18:10,305.12
Diya Das,Kerala,16:01,421.2
Aditya Iyer,West Bengal,16:37,455.47
Pooja Sharma,Gujarat,18:53,658.15
Diya Mehta,West Bengal,20:08,424.41
Sneha Kulkarni,Punjab,19:25,248.83
Vivaan Gupta,West Bengal,20:04,634.82
Meera Das,Kerala,19:39,274.78
Sanjay Patel,Karnataka,21:50,391.91
Ishita Das,Punjab,19:32,300.13
Meera Das,Gujarat,20:21,447.44
Diya Das,Kerala,22:08,726.47
Ishita Reddy,Uttar Pradesh,17:39,583.43
Neha Gupta,Punjab,15:31,410.13
Ritika Mehta,Kerala,20:43,261.97
Rahul Iyer,Uttar Pradesh,16:55,780.22
Aarav Gupta,Kerala,18:49,681.57
Ritika Gupta,Delhi,18:10,185.59
Aisha Roy,Bihar,14:09,184.05
Ananya Sharma,Uttar Pradesh,20:01,392.23
Kabir Joshi,Tamil Nadu,21:26,644.47
Aisha Yadav,Uttar Pradesh,23:47,244.94
Vivaan Kulkarni,Karnataka,15:42,392.95
Diya Das,Tamil Nadu,18:58,522.22
Vikram Joshi,West Bengal,15:46,665.41
Sneha Gupta,Kerala,19:35,546.62
Neha Singh,Rajasthan,19:44,141.26
Diya Joshi,Kerala,14:50,761.09
Sneha Mehta,Maharashtra,15:57,319.63
Meera Mishra,Punjab,23:18,328.48
Vivaan Mehta,Bihar,23:41,614.68
Sneha Kulkarni,Kerala,20:17,749.1
Vikram Kulkarni,Rajasthan,21:37,609.06
Ananya Singh,Gujarat,17:40,226.0
Ananya Sharma,Maharashtra,14:06,568.28
Karan Sharma,West Bengal,20:41,405.4
Diya Nair,Madhya Pradesh,21:20,860.76
Neha Roy,Gujarat,20:36,377.39
Ananya Das,Bihar,17:58,80.0
Rohan Iyer,Karnataka,19:53,400.25
Meera Yadav,Kerala,20:55,695.64
Neha Reddy,Gujarat,22:06,433.57
Ishita Mehta,Kerala,22:31,404.58
Karan Mishra,West Bengal,17:07,443.51
Ishita Verma,Bihar,16:11,455.44
Aarav Kulkarni,Punjab,19:48,194.46
Priya Verma,Uttar Pradesh,22:52,118.42
Arjun Das,Punjab,22:11,558.81
Karan Nair,Punjab,19:24,411.73
Ananya Nair,Rajasthan,21:46,376.53
Ritika Sharma,Rajasthan,16:03,192.57
Rahul Nair,Rajasthan,21:59,651.09
Neha Kulkarni,Maharashtra,14:23,92.61
Sanjay Singh,Delhi,22:29,365.65
Sanjay Joshi,Tamil Nadu,17:48,80.0
Vikram Yadav,Madhya Pradesh,21:43,148.83
Sanjay Mishra,Maharashtra,15:23,384.79
Aditya Reddy,Uttar Pradesh,23:57,639.15
Aisha Singh,Uttar Pradesh,17:54,395.36
Aisha Nair,Maharashtra,16:31,161.02
Aditya Reddy,West Bengal,18:08,440.46
Aisha Iyer,Kerala,15:43,330.0
Neha Kulkarni,Gujarat,14:47,621.58
Priya Gupta,Maharashtra,21:04,466.45
Vikram Sharma,Maharashtra,22:18,402.3
Arjun Verma,Karnataka,19:41,80.0
Arjun Joshi,Tamil Nadu,12:24,547.64
Meera Patel,Madhya Pradesh,23:08,338.07
Pooja Patel,Karnataka,21:08,411.92
Ananya Mishra,Gujarat,19:29,80.0
Vikram Iyer,West Bengal,17:29,509.44
Pooja Verma,Rajasthan,21:48,760.13
Rahul Sharma,Madhya Pradesh,14:56,569.09
Aarav Singh,Delhi,22:28,519.16
Sanjay Roy,Bihar,20:02,322.98
Meera Nair,Delhi,14:49,345.43
Vivaan Verma,West Bengal,21:58,414.62
Ritika Joshi,Uttar Pradesh,15:20,264.77
Ananya Mehta,Karnataka,22:26,400.39
Neha Mehta,Gujarat,15:47,335.95
Rohan Roy,Madhya Pradesh,15:22,513.01
Meera Yadav,West Bengal,17:09,589.64
Neha Iyer,Karnataka,19:54,216.19
Ananya Mehta,Bihar,21:03,578.11
Vikram Iyer,Tamil Nadu,17:15,385.98
Sneha Singh,Punjab,14:54,95.9
Pooja Patel,West Bengal,18:17,304.47
Meera Roy,Uttar Pradesh,14:12,199.4
Ritika Kulkarni,Madhya Pradesh,15:55,345.67
Ishita Mehta,Gujarat,19:47,533.51
Rahul Kulkarni,Kerala,22:45,277.84
Priya Iyer,Delhi,14:24,320.0
Kabir Das,Madhya Pradesh,17:32,528.42
Diya Nair,Maharashtra,20:48,147.54
Ishita Reddy,Delhi,16:36,555.08
Ananya Kulkarni,Karnataka,22:37,443.25
Ritika Kulkarni,Tamil Nadu,18:14,534.2
Meera Gupta,Delhi,14:43,421.15
Ishita Mehta,Kerala,23:31,366.13
Kabir Verma,Bihar,19:46,314.73
Vikram Nair,Karnataka,22:41,307.79
Vivaan Das,Gujarat,19:52,360.05
Vivaan Yadav,Gujarat,14:14,601.04
Aditya Kulkarni,Karnataka,22:23,432.27
Vivaan Gupta,Madhya Pradesh,16:30,204.1
Diya Sharma,Gujarat,15:01,382.75
Aisha Kulkarni,Rajasthan,16:32,387.05
Arjun Yadav,Karnataka,20:09,470.46
Ananya Singh,Uttar Pradesh,13:17,365.27
Meera Patel,Punjab,22:15,369.53
Ananya Mehta,Madhya Pradesh,19:54,354.9
Vivaan Patel,Tamil Nadu,16:03,577.07
Aarav Kulkarni,Karnataka,23:41,592.66
Ishita Gupta,Maharashtra,23:14,172.14
Priya Reddy,Bihar,21:02,287.25
Aditya Roy,Rajasthan,22:02,282.96
Rohan Reddy,Punjab,21:09,432.05
Meera Reddy,Maharashtra,17:36,640.89
Meera Roy,West Bengal,16:08,683.19
Aditya Das,Bihar,19:27,410.39
Ananya Mishra,Maharashtra,16:38,679.56
Meera Yadav,Punjab,21:28,446.62
Diya Singh,Punjab,16:11,362.87
Ritika Roy,Tamil Nadu,22:51,548.16
Ananya Kulkarni,Maharashtra,20:45,471.35
Karan Kulkarni,Tamil Nadu,18:00,498.05
Neha Nair,Punjab,19:05,336.62
Rohan Iyer,Kerala,15:06,344.39
Aarav Patel,Punjab,15:50,338.93
Ishita Mishra,Tamil Nadu,22:49,434.41
Aditya Kulkarni,West Bengal,23:36,140.72
Aisha Verma,Madhya Pradesh,17:19,487.04
Sneha Nair,Karnataka,21:26,494.43
Neha Nair,Maharashtra,14:46,751.27
Diya Gupta,Uttar Pradesh,19:19,500.66
Aarav Iyer,Punjab,20:55,272.39
Ishita Nair,Punjab,13:41,561.57
Sanjay Verma,Rajasthan,15:12,814.34
Diya Joshi,Karnataka,23:18,315.4
Diya Gupta,Delhi,17:50,549.71
Meera Joshi,Maharashtra,20:34,370.25
Rohan Roy,West Bengal,23:45,468.83
Priya Nair,Rajasthan,19:54,360.55
Arjun Roy,Kerala,20:16,537.3
Karan Kulkarni,Tamil Nadu,19:38,351.55
Diya Gupta,Tamil Nadu,12:55,332.56
Arjun Das,Gujarat,19:57,255.61
Vikram Gupta,Madhya Pradesh,20:15,375.62
Pooja Verma,Madhya Pradesh,16:41,269.34
Meera Yadav,Punjab,22:00,379.18
Rahul Mehta,Delhi,15:37,405.41
Ritika Singh,Kerala,16:43,562.73
Ritika Kulkarni,West Bengal,23:30,929.36
Rahul Mehta,Tamil Nadu,20:53,383.49
Karan Joshi,Rajasthan,16:33,682.87
Diya Joshi,Kerala,22:28,585.79
Ishita Patel,Rajasthan,23:01,498.56
Ishita Roy,Maharashtra,18:47,323.24
Ananya Das,Karnataka,16:27,368.29
Kabir Singh,Tamil Nadu,17:42,335.84
Arjun Iyer,Gujarat,18:28,80.0
Ritika Iyer,Tamil Nadu,21:17,423.5
Aditya Gupta,Maharashtra,20:23,207.37
Ishita Singh,Kerala,22:31,596.1
Aisha Roy,Punjab,15:37,278.39
Rahul Joshi,Punjab,21:52,214.1
Neha Reddy,Uttar Pradesh,15:20,275.73
Rahul Singh,Rajasthan,21:09,536.67
Aisha Iyer,Tamil Nadu,15:27,285.94
Rohan Nair,Madhya Pradesh,12:59,326.05
Rohan Das,Karnataka,17:20,426.44
Kabir Gupta,Gujarat,23:31,88.41
Karan Singh,Tamil Nadu,22:31,371.87
Arjun Roy,Kerala,14:31,594.21
Rohan Patel,Uttar Pradesh,23:18,478.69
Vivaan Mehta,Delhi,17:29,394.42
Ritika Kulkarni,Kerala,17:07,392.88
Sneha Yadav,West Bengal,20:52,265.83
Vivaan Yadav,Bihar,17:27,465.52
Rahul Kulkarni,Madhya Pradesh,19:02,268.68
Kabir Mehta,Punjab,19:55,361.51
Rahul Yadav,Delhi,20:44,705.14
Pooja Mishra,Bihar,16:39,298.45
Karan Yadav,Delhi,21:36,119.91
Pooja Das,Rajasthan,17:45,357.51
Neha Mehta,Uttar Pradesh,18:57,773.55
Rahul Verma,Tamil Nadu,23:55,144.98
Karan Kulkarni,Karnataka,19:53,703.77
Ananya Yadav,Madhya Pradesh,17:40,482.23
Sneha Roy,Tamil Nadu,18:50,470.38
Aditya Iyer,West Bengal,18:56,142.72
Pooja Nair,Kerala,18:49,431.2
Aditya Kulkarni,Kerala,15:54,211.45
Aditya Yadav,West Bengal,12:52,703.22
Priya Nair,Rajasthan,17:35,551.87
Ritika Verma,Uttar Pradesh,22:57,166.26
Vivaan Sharma,Maharashtra,14:01,175.9
Rahul Reddy,Karnataka,18:27,422.39
Priya Kulkarni,Karnataka,20:55,317.05
Sneha Patel,Madhya Pradesh,18:42,477.39
Rohan Sharma,Tamil Nadu,15:48,214.42
Ananya Iyer,Madhya Pradesh,20:13,463.65
Diya Patel,Karnataka,15:28,299.01
Aarav Sharma,Bihar,18:55,495.93
Arjun Kulkarni,Karnataka,16:05,438.13
Rahul Patel,Punjab,17:24,532.24
Karan Roy,Madhya Pradesh,21:00,593.05
Sanjay Roy,Karnataka,14:40,525.92
Karan Reddy,Tamil Nadu,16:13,290.36
Aditya Reddy,Maharashtra,19:46,491.11
Meera Joshi,Tamil Nadu,18:17,510.79
Aditya Singh,West Bengal,15:18,249.45
Aarav Mishra,Madhya Pradesh,20:38,334.13
Aisha Singh,Bihar,15:50,583.18
Ananya Nair,Tamil Nadu,21:38,557.8
Aditya Das,Gujarat,23:08,385.46
Meera Mishra,Uttar Pradesh,15:11,527.95
Diya Yadav,Maharashtra,20:16,427.05
Priya Sharma,Gujarat,21:18,362.54
Aisha Yadav,Tamil Nadu,16:40,504.36
Vikram Das,Uttar Pradesh,19:05,481.58
Aisha Reddy,Delhi,20:20,403.19
Meera Gupta,Madhya Pradesh,19:41,160.13
Aditya Mehta,Bihar,12:15,590.63
Vivaan Singh,Maharashtra,20:39,379.24
Sanjay Sharma,Rajasthan,16:11,192.12
Rahul Sharma,Bihar,19:31,440.65
Pooja Das,West Bengal,19:10,138.64
Pooja Verma,Bihar,19:56,280.29
Rahul Yadav,Gujarat,17:33,584.1
